"Application_ID","Current City","Python (out of 3)","R Programming (out of 3)","Deep Learning (out of 3)","PHP (out of 3)","MySQL (out of 3)","HTML (out of 3)","CSS (out of 3)","JavaScript (out of 3)","","AJAX (out of 3)","Bootstrap (out of 3)","MongoDB (out of 3)","Node.js (out of 3)","ReactJS (out of 3)","Other skills","Degree","Stream","Current Year Of Graduation","Performance_PG","Performance_UG","Performance_12","Performance_10"
"ML0102","Thrissur","1","2","0","0","0","2","2","2","","0","0","0","0","1","R Programming, BIG DATA ANALYTICS, Java, Machine Learning, Python","","Advance Diploma In Big Data Analytics","2020","N/A","80.00/100","73.00/73.00","81.00/81.00"
"ML0103","Bangalore","3","0","0","0","0","2","0","2","","0","0","0","0","2","C Programming, Python, Adobe Illustrator, Java, Adobe Photoshop","Bachelor of Engineering (B.E)","Electronics and Communication","2019","N/A","6.90/10","79.00/79.00","89.00/89.00"
"ML0104","Bangalore","3","2","0","0","1","0","0","0","","0","0","0","0","1","C Programming, HTML, Java, Python, Android, Data Analytics, Data Science, Golang, JSP, Machine Learning, R Programming, REST API, Software Testing","Bachelor of Technology (B.Tech)","computer science","2019","N/A","N/A","N/A","N/A"
"ML0105","Bangalore","2","0","0","0","1","1","0","0","","0","0","0","0","2","Algorithms, C Programming, Data Structures, Database Management System (DBMS), Java, Linux, Python","B.Tech (Hons.)","Computer  Science And Engineering","2020","N/A","75.00/100","N/A","N/A"
"ML0106","Bangalore","2","0","0","0","0","0","0","0","","0","0","0","0","1","Algorithms, C Programming, C++ Programming, CSS, Data Analytics, Data Structures, HTML, Java, JavaScript, Linux, Machine Learning, Python","Bachelor of Technology (B.Tech)","Computer Science AndEngineering","2019","N/A","7.56/10","7.00/7.00","9.00/9.00"
"ML0107","Bangalore","3","0","0","0","0","0","0","0","","0","0","0","0","1","Data Analytics, MS-Office, Python, Algorithms, Data Science, Data Structures, Database Management System (DBMS), GitHub, MS-Excel, Machine Learning, Mathematics, OpenCV, SQL, Statistical Modeling, Natural Language Processing (NLP)","Bachelor of Technology (B.Tech)","Civil Engineering","2018","N/A","72.00/100","N/A","7.40/7.40"
"ML0108","Bangalore","2","0","0","2","0","3","2","2","","0","0","0","0","0","Adobe Photoshop, HTML, Photography, Python, Adobe Illustrator, CSS, Java, Software Testing","Master of Computer Applications (MCA)","","2020","71.00/100","N/A","N/A","N/A"
"ML0109","Bangalore","2","0","1","0","0","2","2","1","","0","0","0","0","0","English Proficiency (Spoken), Machine Learning, Python, SQL, Deep Learning, Natural Language Processing (NLP)","Bachelor of Engineering (B.E)","Electronics and Communication","2016","N/A","71.00/100","N/A","N/A"
"ML0110","Jalandhar","2","0","0","0","0","2","0","0","","0","0","0","0","0","Arduino, C Programming, C++ Programming, Catia, Python, Raspberry Pi","Bachelor of Technology (B.Tech)","Instrumentation and Control Engineering","2021","N/A","7.28/10","76.02/76.02","9.00/9.00"
"ML0111","Bangalore","1","0","0","0","0","3","2","2","","0","0","0","0","0","C Programming, C++ Programming, Cloud Computing, Data Analytics, Data Science, Photography, Python","Bachelor of Technology (B.Tech)","Electronics and Communication","2019","N/A","7.26/10","75.00/75.00","87.04/87.04"
"ML0112","Bangalore","2","2","0","1","0","1","1","1","","0","0","0","0","1","Mathematics, Data Analytics, English Proficiency (Written), MS-Office, Python, R Programming","Integrated M.Sc.","Mathematics","2008","N/A","6.40/10","N/A","N/A"
"ML0113","Hyderabad","2","0","0","0","2","2","2","2","","0","0","0","0","2","Computer Vision, Image Processing, Machine Learning, Python","Bachelor of Technology (B.Tech)","Information Technology","2016","N/A","7.30/10","89.60/89.60","82.00/82.00"
"ML0114","Bangalore","1","0","0","0","0","0","0","0","","0","0","0","0","1","English Proficiency (Spoken), MS-Excel, English Proficiency (Written), Machine Learning, Python","Bachelor of Business Management (B.B.M.)","Marketing","2007","N/A","N/A","N/A","N/A"
"ML0115","Hyderabad","2","0","2","0","0","0","0","0","","0","0","0","0","2","Deep Learning, Machine Learning, Natural Language Processing (NLP), Python","Master of Technology (M.Tech)","Sensor Systems Technology","2015","8.30/10","69.29/100","91.00/91.00","82.10/82.10"
"ML0116","Banglore","2","0","0","0","0","0","0","0","","0","0","0","0","1","MySQL, C Programming, HTML, Python, CSS","Bachelor of Technology (B.Tech)","Information Technology","2017","N/A","6.84/10","67.70/67.70","68.70/68.70"
"ML0117","Bangalore","2","0","1","2","0","3","2","0","","0","0","0","0","0","Data Science, MS-PowerPoint, MS-Word, Machine Learning, Python, Deep Learning","Bachelor of Technology (B.Tech)","Production Engineering","2019","7.17/10","N/A","75.00/75.00","89.00/89.00"
"ML0118","Hyderabad","2","2","1","0","0","0","0","1","","0","0","0","0","0","Machine Learning, Natural Language Processing (NLP), OpenCV, Python, R Programming, Artifical Intelligence, Deep Learning","","Artificial Intelligence","2020","N/A","83.00/100","86.70/86.70","9.80/9.80"
"ML0119","Bangalore","1","0","1","0","0","2","2","0","","0","0","0","0","0","Deep Learning, MS-Excel, Machine Learning, Python","B.Tech (Hons.)","Mechanical Engineering","2019","N/A","7.85/10","N/A","N/A"
"ML0120","Indore","2","0","2","0","0","2","0","0","","0","0","0","0","0","C Programming, C++ Programming, Deep Learning, Machine Learning, Python, SQL","Bachelor of Technology (B.Tech)","Computer Science &amp;engineering","2020","N/A","9.24/10","84.60/84.60","8.20/8.20"
"ML0121","Varanasi","2","0","0","0","2","2","2","2","","0","0","0","2","1","Algorithms, C Programming, C++ Programming, CSS, Data Structures, HTML, Machine Learning, Python","Bachelor of Technology (B.Tech)","Ceramic Engineering","2021","N/A","7.72/10","N/A","N/A"
"ML0122","Kolkata","2","0","0","0","1","2","2","1","","0","0","0","0","2","Computer Vision, Data Analytics, Machine Learning, Python, SQL, MS-Excel","Bachelor of Commerce (B.Com) (Hons.)","Commerce With Maths","2019","N/A","40.00/100","78.00/78.00","N/A"
"ML0123","Bangalore","1","0","0","0","0","2","2","0","","1","0","0","0","1","Java, Machine Learning, Python","Master of Technology (M.Tech)","Computer Science & Engineering","2017","7.80/10","67.00/100","63.00/63.00","75.00/75.00"
"ML0124","Chennai","0","1","0","0","0","2","2","2","","0","0","0","0","1","Data Analytics, English Proficiency (Spoken), Financial Modeling, MS-Excel, Accounting, Digital Marketing, R Programming","Post Graduate Diploma in Management (P.G.D.M.)","Finance And Analytics","2021","N/A","63.40/100","82.20/82.20","82.20/82.20"
"ML0125","Bangalore","3","2","3","2","2","2","2","2","","0","2","0","0","1","Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, Artifical Intelligence, R Programming","Bachelor of Engineering (B.E)","Computer  Science","2019","N/A","7.60/10","60.00/60.00","82.33/82.33"
"ML0126","Agartala","2","0","0","0","0","0","0","0","","0","0","0","0","0","English Proficiency (Spoken), English Proficiency (Written), Event Management, C Programming, Data Analytics, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Physics, Python, SQL, Statistical Modeling","Integrated B.Tech & M.Tech","Engineering Physics","2019","N/A","6.73/10","86.80/86.80","10.00/10.00"
"ML0127","Bangalore","1","0","0","0","0","0","0","0","","0","0","0","0","0","English Proficiency (Spoken), Catia, MS-Office, C Programming, C++ Programming, Data Analytics, Java, Machine Learning, Python","Bachelor of Technology (B.Tech)","Aerospace Engineering","2020","N/A","60.00/100","8.00/8.00","N/A"
"ML0128","Pune","2","2","0","0","0","0","0","0","","0","0","0","0","0","MS-Excel, SQL, Machine Learning, Python, R Programming","Bachelor of Engineering (B.E)","Electronics and Telecommunication Engineering (ETE)","2014","N/A","62.00/100","N/A","86.72/86.72"
"ML0129","Banglore","2","0","0","0","0","0","0","0","","0","0","0","2","0","Amazon Web Services (AWS), Data Science, Python","Bachelor of Technology (B.Tech)","","2019","N/A","7.50/10","49.00/49.00","64.00/64.00"
"ML0130","Bangalore","2","0","1","0","3","3","3","3","","0","0","0","0","0","English Proficiency (Spoken), MS-Excel, Data Analytics, Python, Deep Learning, Machine Learning","Bachelor of Commerce (B.Com)","Commerce","2006","N/A","N/A","N/A","N/A"
"ML0131","Vadodara","2","0","0","2","0","0","0","0","","0","0","0","0","0","C++ Programming, Java, Blockchain, C Programming, Python, Servlets, AJAX, CSS, Data Science, HTML, J2EE, JavaScript, Machine Learning, Neural Networks","Bachelor of Technology (B.Tech)","Information Technology","2021","N/A","8.74/10","N/A","N/A"
"ML0132","Bangalore","2","0","0","0","0","3","2","2","","0","0","0","0","0","SQL, Algorithms, Data Analytics, Data Structures, MS-Excel, Machine Learning, Mathematics, Python","Master of Technology (M.Tech)","Computer  Science","2019","69.00/100","67.00/100","74.00/74.00","89.00/89.00"
"ML0133","Bangalore","2","0","0","2","1","0","0","0","","0","0","0","0","0","Machine Learning, Python, Data Analytics, Power BI, SQL","B.Tech (Hons.)","Electronics and Communication","2018","N/A","6.47/10","N/A","N/A"
"ML0134","Bangalore","2","0","0","0","0","0","0","0","","0","0","0","0","0","Data Analytics, English Proficiency (Spoken), Machine Learning, Python","Bachelor of Technology (B.Tech)","Electronics and Communication","2018","N/A","57.00/100","N/A","N/A"
"ML0135","Ghaziabad","2","0","0","0","2","2","2","1","","1","1","0","0","0","Data Analytics, Linear Programming, MS-Excel, Machine Learning, Python, SQL, Statistical Modeling","Bachelor of Technology (B.Tech)","Mechanical Engineering","2017","N/A","76.08/100","78.40/78.40","8.00/8.00"
"ML0136","Bangalore","2","2","0","2","0","2","2","0","","0","0","0","0","0","Data Analytics, MS-Office, Python, R Programming, SAS","PG Diploma in Data Science","Data Analytics","2019","5.19/100","7.89/100","56.00/56.00","63.00/63.00"
"ML0137","Mumbai","2","2","0","1","0","2","2","1","","0","0","0","0","0","Data Analytics, Data Science, Python, R Programming, SAS","Bachelor of Engineering (B.E)","Information Technology","2019","N/A","5.79/10","N/A","N/A"
"ML0138","Bangalore","2","3","0","0","0","2","1","0","","0","0","0","0","0","R Programming, MS-Excel, MS-PowerPoint, MS-Word, Python, Hadoop, Java, Linux, Machine Learning","","Advanced Big Data Analytics","2020","65.00/100","80.00/100","82.00/82.00","88.00/88.00"
"ML0139","Bangalore","0","1","2","2","2","2","2","2","","0","0","0","0","0","CSS, HTML, Adobe Dreamweaver, BIG DATA ANALYTICS, C Programming, Computer Networking, Computer Networks, Data Analytics, Deep Learning, Image Processing, Machine Learning, MongoDB, NoSQL, SQL, C++ Programming, Data Structures, Ethical Hacking, R Programming","Master of Science (M.S.)","Computer  Science","2020","75.00/100","57.00/100","N/A","N/A"
"ML0140","Chennai","2","0","2","2","2","3","3","2","","0","2","2","2","0","Data Analytics, Deep Learning, Machine Learning, MySQL, Python, Statistical Modeling","Bachelor of Engineering (B.E)","Electronics and Communication","2018","N/A","6.77/10","92.50/92.50","95.60/95.60"
"ML0141","Bangalore","2","0","0","0","0","2","1","2","","0","0","1","1","1","Python, Data Analytics, Data Science, Java, Machine Learning","Bachelor of Engineering (B.E)","Computer Science & Engineering","2018","N/A","76.00/100","N/A","N/A"
"ML0142","Bangalore","1","0","0","0","0","0","0","0","","0","0","0","0","0","Computer Vision, Data Analytics, MS-Excel, MySQL, Python","Post Graduate Programme (PGP)","Data Analytics","2020","8.30/100","7.20/10","N/A","N/A"
"ML0143","Bangalore","2","2","0","0","0","2","2","0","","0","0","0","0","0","HTML, C Programming, CSS, Data Analytics, Java, MS-Excel, MySQL, PHP, Python, R Programming, Machine Learning","Post Graduate Program in Business Analytics","Business Analytics","2020","N/A","8.70/10","7.60/7.60","8.10/8.10"
"ML0144","Pune","2","0","2","0","0","0","0","0","","0","0","0","0","0","Algorithms, Articulate Storyline, Audacity, AutoCAD, Data Analytics, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL","Bachelor of Engineering (B.E)","Mechanical Engineering","2017","N/A","66.75/100","N/A","89.82/89.82"
"ML0145","Bangalore","2","3","0","0","2","0","2","2","","0","0","0","0","0","Data Analytics, Data Science, MS-Excel, Machine Learning, R Programming, MongoDB, Python, Statistical Modeling, Tableau","Bachelor of Engineering (B.E)","Technology","2019","N/A","6.00/10","N/A","N/A"
"ML0146","Bangalore","3","0","0","0","0","2","0","0","","0","0","0","0","0","MS-Excel, Machine Learning, Python, SQL","MBA","Finance","2019","7.88/10","62.65/100","76.70/76.70","68.16/68.16"
"ML0147","Bangalore","2","0","0","0","0","2","2","1","","0","0","0","0","0","MS-Excel, Python, Machine Learning","Bachelor of Engineering (B.E)","Information Technology","2004","N/A","N/A","N/A","N/A"
"ML0148","Bangalore","2","0","2","0","0","0","0","0","","0","0","0","0","0","Machine Learning, Data Analytics, Deep Learning, MySQL, Natural Language Processing (NLP), Neural Networks, Python, OpenCV","Bachelor of Technology (B.Tech)","Mechanical Engineering","2019","N/A","8.71/10","83.16/83.16","86.40/86.40"
"ML0149","Kharagpur","2","0","2","1","0","1","1","1","","0","0","0","0","0","Deep Learning, Java, Machine Learning, Python","Integrated B.Tech & M.Tech","Aerospace Engineering","2019","N/A","8.12/10","86.00/86.00","N/A"
"ML0150","Bangalore","1","0","0","1","1","1","1","0","","0","0","0","0","0","MS-PowerPoint, MS-Word, Data Analytics, Python, SQL","Master of Science (M.Sc)","Mathematics","2019","N/A","85.00/100","N/A","N/A"
"ML0151","Bangalore","1","0","0","0","0","2","2","0","","0","0","0","0","0","English Proficiency (Spoken), Java, MS-Excel, SQL, Data Analytics, Machine Learning, Python","Master of Science (M.Sc)","Computer  Science","2019","73.00/100","64.50/100","71.50/71.50","64.00/64.00"
"ML0152","Bangalore","1","2","0","1","0","1","1","1","","0","0","0","0","0","MS-Excel, R Programming, Data Structures, Python, SQL","Bachelor of Engineering (B.E)","","2017","N/A","70.00/100","N/A","N/A"
"ML0153","Bangalore","3","0","1","0","0","1","1","1","","0","0","0","0","0","MS-Excel, PostgreSQL, Python, SAS, BIG DATA ANALYTICS, GitHub, Natural Language Processing (NLP), OpenCV, Deep Learning, MongoDB","PG Diploma in Data Science","Data Analytics","2019","70.00/100","53.00/100","68.00/68.00","70.00/70.00"
"ML0154","Bangalore","2","0","0","0","0","2","2","0","","0","2","0","0","0","C Programming, Image Processing, Java, Machine Learning, Python, Neural Networks, SQL","Bachelor of Engineering (B.E)","Computer  Science","2020","N/A","N/A","N/A","N/A"
"ML0155","Banglore","2","0","2","0","2","2","2","1","","0","2","0","0","0","Computer Vision, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV, Python","Bachelor of Technology (B.Tech)","Electronics and Communication","2018","N/A","57.00/100","90.00/90.00","9.00/9.00"
"ML0156","Jaipur","2","0","0","0","0","0","0","0","","0","0","0","0","0","C Programming, Data Science, Database Management System (DBMS), HTML, Machine Learning, OpenCV, Python, Django, MySQL","B.Tech (Hons.)","Computer & Communication Engineering","2021","N/A","8.12/10","74.80/74.80","86.80/86.80"
"ML0157","Bangalore","3","1","0","1","2","1","2","0","","0","2","0","0","0","Python, Data Structures, Flask, SQL, R Programming","Bachelor of Technology (B.Tech)","Computer  Science","2019","N/A","6.62/10","6.30/6.30","6.20/6.20"
"ML0158","Dehradun","1","0","0","2","0","2","2","2","","0","0","0","0","0","HTML, MS-Office, Adobe Flash, Algorithms, C++ Programming, Data Structures, Eclipse (IDE), GitHub, Java, Linux, Machine Learning, MySQL, Node.js, PHP, Robotics, Software Testing, Android, Kotlin, Python","Bachelor of Technology (B.Tech)","Computer Science & Engineering","2021","N/A","7.42/10","7.80/7.80","9.40/9.40"
"ML0159","Bangalore","3","0","0","2","3","3","2","2","","0","2","0","2","0","Python, Algorithms, Data Structures, Django, Machine Learning, Statistical Modeling","Bachelor of Engineering (B.E)","Electrical and Electronics Engineering","2014","N/A","6.50/10","N/A","N/A"
"ML0160","Bhubaneswar","2","0","2","0","0","0","0","0","","0","0","0","0","0","Algorithms, C++ Programming, Data Structures, Deep Learning, Machine Learning, OpenCV, Python","Bachelor of Technology (B.Tech)","Civil Engineering","2021","N/A","7.09/10","85.60/85.60","10.00/10.00"
"ML0161","Bangalore","3","0","0","0","0","0","0","0","","0","0","0","0","0","C Programming, Java, MS-Word, Python, Cloud Computing, Django, Image Processing, MS-Office, SQL, JavaScript, PHP","Bachelor of Engineering (B.E)","Computer  Science","2019","N/A","6.80/10","86.50/86.50","8.70/8.70"
"ML0162","Mangaluru","0","0","0","3","0","3","2","3","","0","0","0","0","0","Adobe Photoshop, MS-Office, ANSYS, Adobe Illustrator, Java, MATLAB, SPSS","Bachelor of Technology (B.Tech)","Mechanical Engineering","2021","N/A","N/A","80.62/80.62","91.20/91.20"
"ML0163","Pune","2","0","0","0","0","2","0","2","","0","0","0","0","0","Data Analytics, Machine Learning, Python","Bachelor of Engineering (B.E)","Mechanical Engineering","2014","N/A","63.66/100","85.67/85.67","85.61/85.61"
"ML0164","Roorkee","2","0","0","0","0","0","0","0","","0","0","0","0","0","Data Science, Image Processing, Python","Integrated M.Sc.","Earth Sciences","2023","N/A","7.20/10","89.00/89.00","95.20/95.20"
"ML0165","Bangalore","1","1","0","0","0","0","0","0","","0","0","0","0","0","C Programming, C++ Programming, Catia, Data Analytics, Data Science, MS-Excel, MS-Office, MySQL, SAP, SolidWorks, Algorithms, Python, R Programming, Statistical Modeling, Tableau","B.Tech (Hons.)","Mechanical Engineering","2016","N/A","8.27/10","69.00/69.00","67.50/67.50"
"ML0166","Delhi","2","0","1","0","0","0","0","0","","0","0","0","0","0","C Programming, C++ Programming, MySQL, Neural Networks, Oracle, Python, Data Analytics, Data Science, Deep Learning, Machine Learning","Master of Technology (M.Tech)","Data Science","2021","9.43/10","8.61/10","86.20/86.20","9.00/9.00"
"ML0167","Bangalore","1","1","0","2","2","2","2","2","","0","2","0","0","0","MS-Excel, Python, R Programming, SQL","Master of Computer Applications (MCA)","Computer Application","2019","60.00/100","55.00/100","N/A","N/A"
"ML0168","Bangalore","1","1","0","0","0","2","0","0","","0","0","0","0","0","MS-Excel, SQL, Machine Learning, Python, R Programming","Master of Science (M.Sc)","Economics","2019","65.30/100","53.88/100","82.75/82.75","86.00/86.00"
"ML0169","Hyderabad","2","0","0","2","0","2","2","1","","0","0","0","0","0","Data Analytics, Database Management System (DBMS), Python, Machine Learning","Bachelor of Computer Science (B.C.S.)","Computer Science & Engineering","2018","N/A","70.00/100","91.20/91.20","8.00/8.00"
"ML0170","Kolkata","0","0","0","0","0","2","2","1","","0","0","0","0","0","","Bachelor of Technology (B.Tech)","Computer  Science","2015","N/A","7.36/10","N/A","N/A"
"ML0171","Bangalore","2","2","0","0","0","0","0","0","","0","0","0","0","0","CSS, HTML, JavaScript, jQuery, .NET, ASP.NET, Adobe Photoshop Lightroom CC, C#.NET, Machine Learning, Python, R Programming, SQL","Bachelor of Technology (B.Tech)","Electronics and Telecommunication Engineering (ETE)","2013","N/A","7.20/10","N/A","N/A"
"ML0172","Hyderabad","3","3","0","2","0","2","2","3","","0","0","0","0","0","Artifical Intelligence, MS-Excel, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, R Programming","Post Graduate Programme (PGP)","Data Science","2019","N/A","76.00/100","83.30/83.30","N/A"
"ML0173","Coimbatore","1","0","0","1","0","1","1","1","","0","0","0","0","0","C++ Programming, Java, Adobe XD, Data Science, Python","Bachelor of Science (B.Sc)","Information Technology","2021","N/A","N/A","N/A","N/A"
"ML0174","Bangalore","0","0","0","1","1","1","1","0","","0","0","0","0","0","Algorithms, Data Structures, Java, Artifical Intelligence, Machine Learning, Neural Networks","Bachelor of Engineering (B.E)","Information Science","2020","N/A","8.31/10","N/A","N/A"
"ML0175","Bangalore","0","0","0","0","0","2","2","0","","0","0","0","0","0","Data Analytics, Machine Learning","Bachelor of Engineering (B.E)","Electronics and Communication","2014","N/A","8.81/10","67.00/67.00","92.00/92.00"
"ML0176","Kolkata","2","2","3","1","0","1","1","1","","0","0","0","0","0","Deep Learning, Machine Learning, OpenCV, C++ Programming, Computer Vision, Java, MySQL, Natural Language Processing (NLP), Python, R Programming, Statistical Modeling, BIG DATA ANALYTICS, C Programming","Bachelor of Technology (B.Tech)","Computer  Science","2019","N/A","9.14/10","94.80/94.80","10.00/10.00"
"ML0177","Hyderabad","2","0","2","0","0","1","1","1","","0","0","0","0","0","Deep Learning, Machine Learning, Python, Data Analytics, Natural Language Processing (NLP)","Bachelor of Technology (B.Tech)","Electronics and Communication","2019","N/A","63.40/100","N/A","9.30/9.30"
"ML0178","Chennai","2","2","2","0","0","2","2","0","","0","2","0","0","0","MS-Excel, MS-Office, MS-Word, Deep Learning, GNU Octave, MATLAB, Machine Learning, Neural Networks, Python, R Programming, Java, SQL","Master of Technology (M.Tech)","Remote Sensing And Wireless Sensor","2020","N/A","7.00/10","N/A","N/A"
"ML0179","Hyderabad","2","0","2","0","2","2","2","1","","0","2","0","0","0","Data Analytics, Machine Learning, Artifical Intelligence, Deep Learning, Natural Language Processing (NLP), Python, Computer Vision, Image Processing","Integrated B.Tech","Electronics and Communication","2013","N/A","75.00/100","N/A","N/A"
"ML0180","Visakhapatnam","2","2","2","0","0","0","0","0","","0","0","0","0","0","C++ Programming, Hadoop, Machine Learning, BIG DATA ANALYTICS, Deep Learning, MS-Excel, Neural Networks, Python, R Programming, SAS","Master of Technology (M.Tech)","Data Science","2021","9.00/10","84.16/100","84.30/84.30","9.30/9.30"
"ML0181","Bangalore","2","0","0","1","2","1","2","0","","0","2","0","0","0","Data Analytics, English Proficiency (Spoken), MS-Excel, Machine Learning, Python","Master of Science (M.Sc) (Hons.)","Statistics","2019","6.00/10","73.00/100","70.00/70.00","84.00/84.00"
"ML0182","Bangalore","2","0","1","2","0","2","2","2","","0","0","0","0","0","C Programming, Data Analytics, Machine Learning, Python, Deep Learning, Java, Natural Language Processing (NLP), SQL","Bachelor of Technology (B.Tech)","Information Technology","2018","N/A","64.36/100","96.70/96.70","93.30/93.30"
"ML0183","Bangalore","2","2","2","2","3","3","2","2","","0","2","0","2","0","JavaScript, SQL, C Programming, CSS, Data Analytics, Data Structures, Database Management System (DBMS), Deep Learning, HTML, Image Processing, Java, MS-Excel, Machine Learning, Natural Language Processing (NLP), Node.js, PHP, Power BI, Python, R Programming, User Interface (UI) Development","B.Tech (Hons.)","Computer  Science","2019","N/A","N/A","N/A","N/A"
"ML0184","Bangalore","0","2","0","0","0","0","0","0","","0","0","0","0","0","Machine Learning, R Programming","Master of Technology (M.Tech)","Design","2012","69.00/100","65.00/100","N/A","N/A"
"ML0185","Bangalore","2","2","0","0","0","0","0","0","","0","0","0","0","0","C Programming, C++ Programming, Data Analytics, MS-Excel, Machine Learning, Python, R Programming, SQL","Master of Technology (M.Tech)","Computer Science & Engineering","2019","9.30/10","N/A","N/A","N/A"
"ML0186","Banglore","1","0","0","3","0","3","2","3","","0","0","0","0","0","MySQL, Java, SQL, Data Analytics, MS-Excel, Machine Learning, Python","Master of Technology (M.Tech)","Computer  Science","2019","77.90/100","8.60/10","N/A","N/A"
"ML0187","Noida","2","0","2","0","0","2","0","2","","0","0","0","0","0","CSS, HTML, Arduino, Bootstrap, C Programming, Deep Learning, GitHub, Java, Machine Learning, Python, User Interface (UI) Development, Algorithms, Android, JavaScript","Bachelor of Technology (B.Tech)","Computer Science & Engineering","2021","N/A","8.69/10","97.25/97.25","94.20/94.20"
"ML0188","Bangalore","3","0","0","0","0","0","0","0","","0","0","0","0","0","C++ Programming, Python, CSS, HTML, Java, JavaScript, SQL","Master of Technology (M.Tech)","Computer Science & Engineering","2020","7.50/10","N/A","58.00/58.00","65.00/65.00"
"ML0189","Chennai","2","0","0","0","0","0","0","0","","0","0","0","0","0","Machine Learning, Python","Bachelor of Technology (B.Tech)","Electronics and Computer Engineering","2021","N/A","8.05/10","N/A","N/A"
"ML0190","Akola","2","1","2","0","0","0","0","0","","0","0","0","0","0","Deep Learning, Machine Learning, Neural Networks, PostgreSQL, Python, Flask, MATLAB, MongoDB, R Programming","Bachelor of Engineering (B.E)","Electronics and Telecommunication Engineering (ETE)","2016","N/A","5.90/10","8.60/8.60","9.20/9.20"
"ML0191","Thane","2","0","0","2","2","2","2","2","","0","2","0","0","0","CSS, HTML, MS-Excel, MS-PowerPoint, PHP, Python, SPSS, SQL, WordPress, Machine Learning","Post Graduate Diploma in Management (P.G.D.M.)","Business Analytics","2020","N/A","N/A","N/A","N/A"
"ML0192","Jalandhar","2","0","2","0","0","2","0","0","","0","0","0","0","0","C Programming, C++ Programming, Computer Vision, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, Statistical Modeling","Bachelor of Technology (B.Tech)","Instrumentation and Control Engineering","2021","N/A","8.27/10","80.00/80.00","9.40/9.40"
"ML0193","Chennai","2","2","0","2","0","2","2","1","","0","0","0","0","0","MS-Excel, Python, R Programming","","Business Analytics And Business Intelligence","2020","N/A","7.74/100","N/A","N/A"
"ML0194","Bangalore","0","0","0","0","0","2","2","1","","0","0","0","0","0","","Bachelor of Technology (B.Tech)","Electrical and Electronics Engineering","2016","N/A","71.00/100","88.00/88.00","89.00/89.00"
"ML0195","Bangalore","2","0","1","0","0","0","0","0","","0","0","0","0","0","Data Analytics, MS-Office, MS-Excel, Machine Learning, Neural Networks, Python, Statistical Modeling, Adobe Photoshop, Deep Learning, SQL","Bachelor of Engineering (B.E)","Electronics and Communication","2017","N/A","6.48/10","8.26/8.26","8.70/8.70"
"ML0196","Kochi","2","0","0","2","0","2","2","3","","0","0","0","0","0","Android, C++ Programming, Java, Python, Machine Learning, Natural Language Processing (NLP), SQL","Bachelor of Engineering (B.E)","Computer Science & Engineering","2018","N/A","7.32/10","58.60/58.60","N/A"
"ML0197","Nashik","1","0","0","1","0","1","1","1","","0","0","0","0","0","Data Analytics, HTML, MS-Excel, MS-PowerPoint, MS-Word, Database Management System (DBMS), Mathematics, MySQL, PHP, REST API, Software Testing, Python, Statistical Modeling","Bachelor of Engineering (B.E)","Information Technology","2012","N/A","62.00/100","N/A","64.00/64.00"
"ML0198","Bangalore","3","0","2","1","1","1","1","0","","0","0","0","0","0","Python, Tableau, Deep Learning, Machine Learning","Integrated B.Tech","Electronics and Communication","2019","N/A","7.10/10","7.80/7.80","9.70/9.70"
"ML0199","Bangalore","1","1","0","0","0","2","2","0","","0","0","0","0","0","Machine Learning, Microsoft Azure, Python, R Programming","Master of Technology (M.Tech)","Computer  Science","2017","8.68/10","8.00/10","N/A","N/A"
"ML0200","Bangalore","2","0","0","1","0","1","1","1","","0","0","0","0","0","Data Analytics, English Proficiency (Spoken), ANSYS, C Programming, MS-Excel, Machine Learning, Python, SQL, Statistical Modeling","Bachelor of Engineering (B.E)","Mechanical Engineering","2019","N/A","6.85/10","78.00/78.00","86.00/86.00"
"ML0201","Bangalore","0","0","0","0","0","1","1","1","","0","0","0","0","0","CSS, HTML, REST API, AJAX, ASP.NET, Angular 2.0, C#, GitHub, JavaScript, jQuery, Artifical Intelligence, Machine Learning","Integrated M.Tech","Artificial Intelligence","2023","N/A","1.00/10","N/A","N/A"
"ML0202","Bangalore","2","0","1","0","0","2","2","0","","0","2","0","0","0","Data Analytics, MS-PowerPoint, MS-Word, Machine Learning, Statistical Modeling, Algorithms, Data Structures, Database Management System (DBMS), MS-Excel, MySQL, Python, SQL, Deep Learning, Power BI","Bachelor of Technology (B.Tech)","Computer  Science","2018","N/A","N/A","N/A","N/A"
"ML0203","Bangalore","0","0","0","0","2","2","2","1","","0","2","0","0","0","Software Testing","Master of Computer Applications (MCA)","Computer Science & Engineering","2020","7.00/10","5.00/10","5.00/5.00","N/A"
